down,yardsToGo,absoluteYardlineNumber,quarter,offenseFormation,playAction,dropbackType,qbSneak,rushLocationType,pff_runConceptPrimary,pff_runPassOption,pff_passCoverage,pff_manZone,yardsGained,secondsRemainingInQuarter,leftReceivers,rightReceivers
1,10,21,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,9,114,3,2
1,10,8,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,4,133,3,2
3,12,20,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,6,120,2,2
2,10,23,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,4,568,2,2
2,8,27,3,PISTOL,1,DESIGNED_RUN,0,INSIDE_LEFT,MAN,0,Cover-1,Man,-1,136,3,1
2,6,29,3,SINGLEBACK,0,,0,INSIDE_RIGHT,MAN,0,Cover 6-Left,Zone,3,855,3,1
1,10,40,4,SHOTGUN,0,,0,OUTSIDE_LEFT,INSIDE ZONE,0,Cover-2,Zone,5,29,2,2
3,12,35,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-0,Man,0,771,3,1
3,8,35,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,15,322,3,1
3,5,85,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,0,531,2,2
2,10,54,4,SHOTGUN,0,,0,INSIDE_LEFT,PULL LEAD,0,Cover-6 Right,Zone,0,775,3,1
1,10,25,2,EMPTY,0,SCRAMBLE,0,NONE,NONE,0,Cover-2,Zone,0,35,4,1
2,9,53,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,12,456,2,2
2,7,62,2,PISTOL,1,SCRAMBLE_ROLLOUT_LEFT,0,OUTSIDE_LEFT,OUTSIDE ZONE,0,Cover-3 Seam,Zone,2,581,2,1
1,1,1,3,JUMBO,0,,0,OUTSIDE_LEFT,MAN,0,Goal Line,Other,-2,198,1,1
3,6,20,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,7,368,3,1
2,1,29,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,177,3,2
2,7,72,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,-2,599,3,2
1,10,42,1,I_FORM,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,23,272,2,1
3,6,67,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,40,345,2,2
2,13,29,4,SHOTGUN,0,SCRAMBLE,0,INSIDE_LEFT,NONE,0,Cover 6-Left,Zone,5,673,2,2
1,10,53,2,SINGLEBACK,1,TRADITIONAL,0,NONE,INSIDE ZONE,0,Cover-3,Zone,42,719,2,2
1,4,96,2,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-0,Man,0,521,3,1
1,10,34,2,SINGLEBACK,0,,0,INSIDE_LEFT,TRAP,0,Cover-1,Man,25,568,2,2
2,7,75,4,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,1,Cover-6 Right,Zone,-1,664,3,1
1,10,64,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,1,613,2,2
2,2,19,4,SHOTGUN,1,TRADITIONAL,0,NONE,INSIDE ZONE,1,Quarters,Zone,4,123,2,2
2,3,3,3,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,MAN,0,Red Zone,Other,3,534,2,1
3,6,26,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,2-Man,Man,0,363,3,1
1,5,44,3,SINGLEBACK,0,,0,INSIDE_LEFT,MAN,0,Cover 6-Left,Zone,-1,501,3,1
2,1,31,1,SINGLEBACK,0,,0,INSIDE_RIGHT,PULL LEAD,0,Cover-1,Man,1,199,2,2
2,10,75,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,5,87,3,1
1,5,95,2,SINGLEBACK,0,TRADITIONAL,0,NONE,MAN,1,Cover-0,Man,5,219,2,2
1,10,69,1,SHOTGUN,0,,0,OUTSIDE_RIGHT,MAN,0,Quarters,Zone,9,571,2,2
2,15,33,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,7,719,3,1
2,7,77,2,JUMBO,1,DESIGNED_ROLLOUT_LEFT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,6,864,2,2
2,4,41,3,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,1,Cover 6-Left,Zone,7,545,3,1
1,10,71,1,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Quarters,Zone,8,37,3,1
3,1,1,2,I_FORM,0,,0,OUTSIDE_LEFT,MAN,0,Goal Line,Other,1,289,2,1
1,10,44,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,120,3,1
2,2,67,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,3,139,2,2
3,3,13,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,17,3,2
3,1,34,3,SINGLEBACK,0,QB_SNEAK,1,INSIDE_RIGHT,SNEAK,0,Cover-1,Man,3,841,3,1
2,5,55,3,SINGLEBACK,0,,0,INSIDE_RIGHT,POWER,0,Cover 6-Left,Zone,14,450,3,1
2,1,71,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,42,2,2
4,1,60,4,I_FORM,0,QB_SNEAK,1,INSIDE_RIGHT,SNEAK,0,Goal Line,Other,1,66,2,1
2,10,22,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,766,3,1
3,1,34,2,SINGLEBACK,0,,1,OUTSIDE_LEFT,SNEAK,0,Cover-1,Man,1,190,3,1
1,10,92,1,SINGLEBACK,0,,0,OUTSIDE_LEFT,INSIDE ZONE,0,Cover-3,Zone,3,317,3,1
2,6,71,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,9,271,2,2
2,6,58,1,SHOTGUN,0,TRADITIONAL,0,NONE,MAN,1,Cover-3,Zone,-1,195,3,1
1,10,34,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,892,2,2
2,7,60,1,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,4,126,2,2
3,16,69,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,5,484,3,2
1,10,77,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,5,748,3,1
3,2,36,1,EMPTY,1,DESIGNED_RUN,0,INSIDE_RIGHT,COUNTER,0,Quarters,Zone,4,761,3,2
1,10,51,3,SINGLEBACK,0,,0,INSIDE_LEFT,PULL LEAD,0,Cover-3,Zone,4,441,3,1
1,5,25,1,I_FORM,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,19,81,2,1
1,10,38,4,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-3 Double Cloud,Zone,62,23,3,1
2,10,64,3,SHOTGUN,0,SCRAMBLE,0,INSIDE_LEFT,NONE,0,Cover-3 Seam,Zone,10,545,3,1
2,3,17,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,329,2,2
3,1,20,1,SHOTGUN,1,DESIGNED_RUN,0,INSIDE_RIGHT,INSIDE ZONE,1,Cover-1,Man,5,707,3,1
1,10,87,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Bracket,Other,0,230,3,1
1,10,47,3,PISTOL,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-3,Zone,7,507,2,1
2,7,92,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,8,466,3,1
1,10,59,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,48,2,2
1,10,91,4,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Quarters,Zone,4,773,2,2
3,9,25,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,5,896,3,1
1,10,31,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,13,733,3,2
2,10,87,1,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,0,857,2,2
2,2,33,2,SHOTGUN,0,SCRAMBLE,0,INSIDE_RIGHT,NONE,0,2-Man,Man,14,90,2,2
1,10,71,4,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-3,Zone,14,133,3,1
2,9,14,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,14,433,3,2
2,8,27,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,6,419,2,2
1,10,81,1,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-2,Zone,3,201,2,2
