quarter,down,yardsToGo,possessionTeam,defensiveTeam,absoluteYardlineNumber,offenseFormation,playAction,dropbackType,qbSneak,yardsGained,pff_passCoverage,pff_coverage,leftReceivers,rightReceivers,secondsRemainingInQuarter,offense_mean_yards,defense_mean_allowed,log_matchup_ratio
3,1,10,CIN,ATL,31,Empty,False,Traditional,,9,Cover-3,Zone,3,2,114,5.46061771272637,5.46061771272637,0.0
4,1,10,CIN,DAL,18,Empty,False,Traditional,,4,Quarters,Zone,3,2,133,9.0,5.46061771272637,0.3494843934240094
4,3,12,HOU,TEN,30,Shotgun,False,Traditional,,6,Quarters,Zone,2,2,120,5.46061771272637,5.46061771272637,0.0
1,2,10,KC,TEN,33,Shotgun,False,Traditional,,4,Quarters,Zone,2,2,568,5.46061771272637,6.0,-0.06180237652777312
3,2,8,BAL,TB,37,Pistol,True,Run,False,-1,Cover-1,Man,3,1,136,5.46061771272637,5.46061771272637,0.0
3,2,6,DET,SEA,39,Singleback,False,Other,False,3,Cover 6-Left,Blitz,3,1,855,5.46061771272637,5.46061771272637,0.0
4,1,10,IND,NE,50,Shotgun,False,Other,False,5,Cover-2,Zone,2,2,29,5.46061771272637,5.46061771272637,0.0
4,3,12,PHI,DET,45,Shotgun,False,Traditional,,0,Cover-0,Blitz,3,1,771,5.46061771272637,5.46061771272637,0.0
2,3,8,DAL,WAS,45,Shotgun,False,Traditional,,15,Quarters,Zone,3,1,322,5.46061771272637,5.46061771272637,0.0
1,3,5,DAL,LA,95,Shotgun,False,Traditional,,0,Cover-3 Seam,Zone,2,2,531,15.0,5.46061771272637,0.7549494459766258
4,2,10,GB,WAS,64,Shotgun,False,Other,False,0,Cover-6 Right,Zone,3,1,775,5.46061771272637,15.0,-0.754949445976626
2,1,10,GB,MIN,35,Empty,False,Scramble,,0,Cover-2,Zone,4,1,35,0.0,5.46061771272637,-1.0368094676960895
3,2,9,GB,DET,63,Shotgun,False,Traditional,,12,Quarters,Zone,2,2,456,0.0,0.0,0.0
3,1,1,LV,DEN,11,Other,False,Other,False,-2,Goal Line,Blitz,1,1,198,5.46061771272637,5.46061771272637,0.0
3,3,6,CIN,BAL,30,Shotgun,False,Traditional,,7,Cover 6-Left,Blitz,3,1,368,6.5,5.46061771272637,0.11586958610214507
4,2,1,HOU,LV,39,Empty,False,Traditional,,0,Quarters,Zone,3,2,177,6.0,5.46061771272637,0.0618023765277731
4,2,7,WAS,MIN,82,Empty,False,Traditional,,-2,Quarters,Zone,3,2,599,5.46061771272637,0.0,1.0368094676960895
1,1,10,TEN,IND,52,I-Form,True,Traditional,,23,Cover-3,Zone,2,1,272,5.46061771272637,5.46061771272637,0.0
4,3,6,NE,BAL,77,Shotgun,False,Traditional,,40,Cover-1,Man,2,2,345,5.46061771272637,7.0,-0.1671628699633819
4,2,13,BAL,BUF,39,Shotgun,False,Scramble,False,5,Cover 6-Left,Blitz,2,2,673,-1.0,5.46061771272637,-1.4422742424711983
2,1,10,LAC,LV,63,Singleback,True,Traditional,,42,Cover-3,Zone,2,2,719,5.46061771272637,0.0,1.0368094676960895
2,1,4,CIN,NYJ,106,Singleback,True,Rollout,,0,Cover-0,Blitz,3,1,521,6.666666666666667,5.46061771272637,0.1332613251842509
2,1,10,PHI,HOU,44,Singleback,False,Other,False,25,Cover-1,Man,2,2,568,0.0,5.46061771272637,-1.0368094676960895
4,2,7,WAS,JAX,85,Shotgun,True,Traditional,,-1,Cover-6 Right,Zone,3,1,664,-2.0,5.46061771272637,-2.135420423032644
3,1,10,CLE,NE,74,Singleback,False,Other,False,1,Cover-3,Zone,2,2,613,5.46061771272637,5.0,0.055980631350839014
4,2,2,GB,NYG,29,Shotgun,True,Traditional,,4,Quarters,Zone,2,2,123,4.0,-1.0,1.2527622542101127
3,2,3,JAX,WAS,13,Singleback,True,Rollout,,3,Red Zone,Zone,2,1,534,5.46061771272637,7.5,-0.21595302460900628
2,3,6,IND,JAX,36,Shotgun,False,Traditional,,0,2-Man,Man,3,1,363,5.0,-1.0,1.3862936111203592
3,1,5,JAX,LAC,54,Singleback,False,Other,False,-1,Cover 6-Left,Blitz,3,1,501,3.0,5.46061771272637,-0.343662620469311
1,2,1,TB,BAL,41,Singleback,False,Other,False,1,Cover-1,Man,2,2,199,5.46061771272637,23.5,-1.1417223854332281
4,2,10,LAC,DEN,85,Shotgun,False,Traditional,,5,Cover 6-Left,Blitz,3,1,87,42.0,-2.0,3.8066605342167628
2,1,5,LA,CAR,105,Singleback,False,Traditional,,5,Cover-0,Blitz,2,2,219,5.46061771272637,-1.0,1.4422742424711983
1,1,10,NE,PIT,79,Shotgun,False,Other,False,9,Quarters,Zone,2,2,571,40.0,5.46061771272637,1.6257777391745454
